,y,pred
0,5791.45673,5886.606210383856
1,6992.82314,6326.615906665578
2,4320.87416,4492.8899662012045
3,3496.35236,3379.242215842085
4,4590.82334,4537.260236467011
5,5675.72149,5880.448420174078
6,3494.94296,3563.6357744933666
7,7022.18973,7135.082256748807
8,5735.13303,5459.838076951299
9,5236.03334,5116.609216018778
10,5200.57849,5409.343805403756
11,7130.83001,6587.142573578083
12,3828.16556,3820.108875008511
13,5192.88315,5699.8311980746985
14,4303.94303,4269.737948036121
15,5345.99106,5136.073092369008
16,6392.35667,6566.176348192315
17,4336.10096,4280.969920869056
18,4016.3616,3850.580522799324
19,5746.77703,5910.194367849468
20,5454.63385,5795.994635572737
21,6942.3963,6734.279733546762
22,5393.56434,5322.631307324538
23,6941.82413,7126.244358833119
24,6842.76056,6896.717226494104
25,5503.09583,5607.4355024633805
26,6465.37205,6506.699443938633
27,4079.91244,4189.89930121426
28,6328.89332,6441.821840896002
29,8086.38881,7982.745395793128
30,6060.64149,5237.606048718311
31,6626.8515,6415.793722556296
32,5830.89362,5235.820161400228
33,6239.53349,6069.16797419182
34,7425.75194,7345.125579179832
35,4079.91244,4305.456223333835
36,7878.81768,7814.486575283539
37,7616.70599,7502.876502516534
38,7298.0026,6474.382793328346
39,7048.87072,6675.966990722845
40,6331.86722,6500.444921376718
41,3182.69865,3778.9373048948137
42,3804.61017,3985.645678222434
43,8440.96097,7841.059030281554
44,3948.98691,3901.8300541133794
45,5602.02293,5618.4026632697205
46,6034.64214,5341.725596404558
47,5729.56964,5797.743137985064
48,4418.44126,4392.8840770039205
49,3626.36653,3466.2302238772554
50,3900.34404,4003.2922476430394
51,6770.23332,6489.085128227016
52,7669.81182,7584.298866571546
53,5686.12196,5563.52880845515
54,7443.62446,7839.060716368003
55,8307.38018,8084.079189300042
56,5150.94289,5515.956205465471
57,4813.45285,4749.303873708161
58,5199.53404,5311.21371570972
59,7616.70599,7777.8633313768005
60,5882.96562,5663.789486045527
61,8489.69192,8103.672377517301
62,5954.51315,5492.641609210101
63,4850.03746,5684.947242542992
64,8211.0795,8027.50656491502
65,3712.99786,3647.9655000613166
66,7048.87072,6950.499161880318
67,7675.96352,7618.322782058516
68,5695.56442,5610.304664664967
69,5729.71505,5916.005081500054
70,5016.74159,5131.927093001104
71,5665.2196,5662.899682111474
72,7122.49056,7250.914459160656
73,6030.98074,5923.100527885461
74,6467.65476,6849.066780354573
75,7660.88604,7671.411380328573
76,3720.71159,3827.5186433169492
77,6318.70872,7062.2247947307915
78,4125.75712,4279.482438840132
79,7532.82953,7360.720639812767
80,8655.67644,7991.363261897051
81,7998.35059,7290.912658788453
82,5772.91016,6172.073431541146
83,7381.3794,7273.341959911202
84,5649.03716,5929.856150806234
85,6826.20873,7055.156907387165
86,5729.56964,5813.298999012612
87,5828.73212,5822.042392968186
88,6826.20873,6612.824569903019
89,6830.96605,6529.145579075477
90,5773.62581,5906.208465403906
91,5393.56434,5237.429556951969
92,5296.61109,5487.472676693866
93,6583.45789,6330.5829608028
94,8743.52098,7279.469758035779
95,4737.63925,4478.844714366054
96,6251.61184,6053.349714648011
97,5347.51393,5165.791644962241
98,6852.97971,7055.329265584252
99,7301.10622,7210.599920332577
100,6190.66597,7391.392741362066
101,4966.77945,4981.1420073026675
102,2379.90521,2870.0669043007165
103,6491.22353,5905.945162953267
104,7071.83395,6630.895013575304
105,8605.19995,6653.680352230105
106,4644.60117,4918.590641221477
107,7557.46014,6398.3750424407335
108,7529.17505,7651.4855120596985
109,5601.20531,5580.582867164801
110,7206.90196,7116.368040163317
111,6461.67087,6402.391218819743
112,5225.16307,5547.647323330817
113,4673.38052,4822.9544105446785
114,4705.62653,4532.992859011574
115,4898.83586,4743.467237475143
116,8254.05731,8091.017788409074
117,6514.63899,6555.770512183957
118,6821.8081,5944.532662424699
119,6125.69538,6573.022553342511
120,6671.07264,6686.607054515036
121,4323.93099,4223.3147322710665
122,5085.84473,5260.590159654019
123,6125.69538,6435.755806872388
124,7778.34916,7677.351243485391
125,6663.00068,6669.888064133051
126,5482.0813,5165.578870152727
127,6808.26361,6455.439681957745
128,3182.69865,3812.109666205977
129,5199.79211,5569.891757778125
130,5794.89185,5316.516385922625
131,7107.60976,6968.875778750295
132,8562.37077,7753.074102681079
133,7152.13259,6735.630414344148
134,3708.20502,3728.82662543725
135,3943.13168,4131.577897126221
136,5085.84473,4984.986245790207
137,8743.52098,8393.607864372752
138,6465.37205,6903.305044876088
139,8634.77583,8399.286186326659
140,4177.0152,4118.171309234587
141,6189.7798,6127.376168789069
142,6180.95142,6091.222127760695
143,7117.95038,7360.248489381644
144,6239.53349,6142.0646858398395
145,5246.52146,5647.485175277012
146,5911.49359,6202.454440571568
147,5966.71128,5852.685873398343
