id,yield
15000,4587.361428439039
15001,7004.866985932142
15002,5977.1610164647245
15003,6321.373832769503
15004,5556.7354078803255
15005,6490.867117025347
15006,4264.246082654066
15007,4212.192894062935
15008,7075.62246428533
15009,5573.575246718632
15010,7910.986701591595
15011,4174.8632416992
15012,6043.506400797953
15013,5200.670405420595
15014,8397.248885039095
15015,5339.083493090609
15016,7551.464272959558
15017,6359.3751606104415
15018,4500.53307246797
15019,7714.942334316973
15020,5895.313677308739
15021,6754.398244872267
15022,4687.517613876666
15023,7273.406555428133
15024,6151.058321432021
15025,4526.352503148009
15026,6290.372437373699
15027,4416.12387921449
15028,6359.846226746406
15029,7190.229309224676
15030,5628.039028433344
15031,6842.761979578754
15032,3751.2561084272584
15033,7926.082836409336
15034,5500.737769700059
15035,6139.355348469991
15036,5190.451353214703
15037,6301.733881340664
15038,7648.225236358601
15039,6041.36734209958
15040,8251.991316338856
15041,7091.12820408319
15042,5073.681771485633
15043,6910.083208412754
15044,7567.924096530525
15045,4680.523078113387
15046,3627.3837894107637
15047,6644.409407223229
15048,5724.406866406243
15049,6547.706217969444
15050,5388.586968884414
15051,4608.711470650287
15052,6824.270390021873
15053,5346.4112380090155
15054,5627.292145432886
15055,7463.740877297176
15056,6256.649190277214
15057,7281.355087211708
15058,4299.794162997958
15059,8424.729905592547
15060,7342.797554458779
15061,5534.549479149646
15062,5027.176806595769
15063,7544.4976923314025
15064,3596.2630945317087
15065,7643.976451813975
15066,3471.6094337914783
15067,7548.005959734222
15068,7034.186271356055
15069,7255.129721142199
15070,8044.913791233015
15071,6738.459025521312
15072,6566.262188741457
15073,5409.111501794647
15074,6635.3412781652005
15075,3230.181055141391
15076,5706.742590404894
15077,6618.056877415209
15078,4233.745982631779
15079,2216.638843055607
15080,6102.647608484549
15081,5345.804204552736
15082,4221.882988206295
15083,4918.255773923247
15084,6578.616944286114
15085,4772.958439744432
15086,6742.278818116596
15087,6871.591788489684
15088,5663.840303344172
15089,7388.998081797614
15090,3777.1977091819044
15091,7195.983182380263
15092,5962.700338856004
15093,6410.679099039618
15094,5905.239923041721
15095,6505.78225634195
15096,8139.4877321884815
15097,7309.2415080746
15098,5843.662681395235
15099,5706.1763669451575
15100,6121.284633865864
15101,7107.069871415853
15102,5899.039668320238
15103,5881.537186777012
15104,6113.869562695021
15105,6896.477342921531
15106,4137.779975770138
15107,6507.1010369824
15108,7619.066034872059
15109,6032.838459506122
15110,8619.851567682665
15111,5589.785994840702
15112,6060.287857698477
15113,4016.0127583162375
15114,7243.54365094001
15115,5851.33179171829
15116,6294.570016075864
15117,5393.562341184432
15118,7319.518703280362
15119,6697.554528577755
15120,7112.080531382493
15121,5760.62760128732
15122,7389.537796284163
15123,5452.598747054119
15124,4956.433426227173
15125,4629.404262888089
15126,5479.323997193111
15127,5597.337995335707
15128,5310.69181439931
15129,5743.187021936101
15130,6199.708675615388
15131,3453.9244048430355
15132,5666.057444698043
15133,6733.238646999631
15134,5040.995401917418
15135,5609.473592611412
15136,4810.063091774013
15137,5862.073705788676
15138,6332.959310168026
15139,6469.613125529129
15140,6280.8985959405945
15141,4243.592991857537
15142,5316.384412079013
15143,7061.809486482831
15144,4992.3736190040145
15145,3124.6233805127013
15146,1651.4411410669
15147,7358.24096587062
15148,5929.05035462508
15149,5764.434810106846
15150,7998.437636662584
15151,6748.2510126616435
15152,5016.078211867894
15153,6475.8964633916985
15154,7074.712996085946
15155,7172.707519031574
15156,4161.207927421214
15157,6891.765090412504
15158,6919.1898578146975
15159,7263.475286520166
15160,7150.061078299113
15161,7778.188701107862
15162,2027.8590152252164
15163,4597.086345902022
15164,7613.825072892305
15165,6349.050184192012
15166,6624.252074187578
15167,8118.152522300043
15168,4666.3588539992525
15169,7533.026044647813
15170,6620.868723519427
15171,7228.087067999117
15172,7113.251564926184
15173,4370.419249783932
15174,3779.360161238883
15175,7404.691050980335
15176,3441.5028374912763
15177,6295.000173161621
15178,6319.681223541593
15179,7538.189527013259
15180,5886.394705147726
15181,6275.440182638915
15182,6612.784091553753
15183,5317.143754117282
15184,5685.932780647738
15185,7658.8478065828385
15186,6177.710907491575
15187,4139.840275446984
15188,5683.654829107341
15189,8534.465813181327
15190,4197.236319434944
15191,4720.114377947575
15192,4945.891700626253
15193,4265.072048697324
15194,5672.062464560702
15195,6613.380655444198
15196,7397.692455695291
15197,4615.223706238248
15198,6102.200290586499
15199,6204.285487195568
15200,5731.065852201817
15201,6575.079434783507
15202,7306.41470325441
15203,5634.144607944894
15204,5465.3854140126095
15205,6082.023237356239
15206,6749.01685112511
15207,6732.87053111483
15208,3913.140505898622
15209,6429.9140005240915
15210,7603.504351001931
15211,5355.535450537631
15212,4303.611166830455
15213,6017.005653624859
15214,4321.707242514949
15215,6438.84066123005
15216,7239.687736587326
15217,6865.999624518801
15218,4959.8475029347865
15219,7532.0786746506965
15220,8037.998262028417
15221,7513.072804192343
15222,5549.958623232247
15223,7233.240537832535
15224,7762.54805528119
15225,5517.8179579328025
15226,5323.651129027403
15227,65782.72487950881
15228,5874.635232116023
15229,5326.591012063262
15230,7232.851036532607
15231,5692.356033327451
15232,6474.0300485067455
15233,7732.168051247045
15234,7189.129017664465
15235,3616.968535732769
15236,6145.605668947817
15237,7059.325844193259
15238,5332.443631934264
15239,4838.748685514576
15240,8069.0877595970705
15241,5223.628390763195
15242,6507.001082320352
15243,6476.496980767359
15244,4138.486042508943
15245,5305.055971479203
15246,4908.413017466661
15247,7676.99746382306
15248,5802.930006427607
15249,6357.583694634512
15250,7663.495942092242
15251,4672.303357738265
15252,5722.926024999735
15253,7849.285997548548
15254,5880.622606459125
15255,6398.532199359313
15256,6864.402284603348
15257,4621.959193996558
15258,7036.292314683917
15259,4823.394273421298
15260,5366.177727103812
15261,3716.613495307487
15262,7014.71709873595
15263,4324.137567341662
15264,4759.438478053093
15265,5822.68336494303
15266,4395.863531574298
15267,4910.712445883437
15268,6162.739827038073
15269,8149.552219840967
15270,7378.292998219033
15271,6375.683692105147
15272,4703.716292595564
15273,6097.594290592617
15274,6732.675726748843
15275,7610.610136302545
15276,6659.571775860528
15277,5862.786161999466
15278,6335.97456248078
15279,8294.636964912239
15280,7166.019725766291
15281,6182.869023092251
15282,8188.097896725754
15283,6738.166441360707
15284,5416.779882926145
15285,7808.310696734417
15286,4351.985710023871
15287,5165.9700165569775
15288,4215.688067523868
15289,6112.868188038632
15290,5318.737257718592
15291,5556.153186742002
15292,4346.9796166030355
15293,7255.100682667271
15294,5783.718062771884
15295,5776.592746622453
15296,6139.433389245405
15297,6203.237287015047
15298,4889.968333287761
15299,5448.302604786182
15300,5738.56052534702
15301,6085.778793092315
15302,5919.249627829631
15303,7388.93529400829
15304,4351.015282800823
15305,6825.5384819026185
15306,7296.395795400553
15307,6527.240850404571
15308,5531.747305517292
15309,7725.812593315386
15310,7566.975305254327
15311,7154.289433693717
15312,6538.9978913062405
15313,7478.475575066732
15314,6169.1640939424
15315,6733.691376939092
15316,6330.441478981113
15317,7363.682004770126
15318,6120.278193441809
15319,7825.650966540474
15320,4662.799009321359
15321,5510.02177707569
15322,8370.032639030695
15323,7301.21406621463
15324,6507.181100457252
15325,6536.713978097592
15326,6284.351871202241
15327,6608.6803022535205
15328,6231.273337184568
15329,6124.843101890154
15330,7177.585846078349
15331,7190.031461447503
15332,5544.8869658008625
15333,7041.313932779787
15334,4712.679527293563
15335,5430.133254340926
15336,6881.776633070749
15337,3700.137455914253
15338,6043.940038568402
15339,7468.40417501091
15340,7185.3876528124965
15341,6062.305497314883
15342,6360.583338113349
15343,2475.3966243328196
15344,5085.784220314483
15345,5142.673768961136
15346,5012.498449878094
15347,5521.355521480782
15348,6818.063556883317
15349,3597.525796840968
15350,7304.410268825195
15351,5320.9694858564835
15352,6693.6986679002
15353,6619.311267619672
15354,4020.8055764405763
15355,32791.08051742734
15356,3196.8998200923998
15357,4680.017487016688
15358,3928.2499986380317
15359,6286.828700662438
15360,6559.693488980709
15361,6428.820393613943
15362,8196.033236734747
15363,4186.088150546142
15364,7116.620043835064
15365,3162.5302672338585
15366,6983.455141733419
15367,4043.082945221591
15368,5261.971697859033
15369,7534.4773868224875
15370,4733.806674098705
15371,5386.035510763657
15372,7268.558557696153
15373,4289.034315983161
15374,7965.980984593301
15375,5846.254048245821
15376,4951.820977739673
15377,5814.476802915466
15378,6877.4170437586945
15379,5923.084480163816
15380,2600.560737646594
15381,4786.285135461032
15382,3217.147901787519
15383,7152.741476606829
15384,4477.919321389978
15385,3898.8261826432135
15386,6388.9999654634885
15387,3400.3726495993815
15388,6789.515838838732
15389,5064.047862416246
15390,5240.9451973694195
15391,4175.168088307953
15392,6554.59318914753
15393,5696.3161829552155
15394,5859.8429606023055
15395,3886.2112111460046
15396,6665.838971507605
15397,5968.932506250421
15398,7114.725779226323
15399,7257.119852070515
15400,5157.148050326894
15401,6684.332118467915
15402,6477.98350317049
15403,7705.146395228097
15404,4167.510223164656
15405,4759.55412573805
15406,8340.47409055991
15407,5694.598552546049
15408,7465.130697222325
